"","GEOID","Domain","Index","Number","Percent","NAMELSAD","COUNTYFP","CountyName","Ordering","Label"
"145","51003011100","nobb","norm",0.3,15.9,"Tract 111","003","Albemarle",2,"No Broadband"
"146","51003011100","nofood","norm",0.62,99.6233910769534,"Tract 111","003","Albemarle",2,"Low Food Access"
"147","51003011100","index","norm",1.45,NA,"Tract 111","003","Albemarle",2,"Composite Score"
"148","51003011100","density","rank",6.34,483.58476113874,"Tract 111","003","Albemarle",2,"Population Density"
"149","51003011100","room15","rank",1,0,"Tract 111","003","Albemarle",2,">1.5 Ppl/Room"
"150","51003011100","nocar","rank",3.64,2.4,"Tract 111","003","Albemarle",2,"No Car Access"
"151","51003011100","und6","rank",8.47,21,"Tract 111","003","Albemarle",2,"Children Aged <6"
"152","51003011100","nobb","rank",4.2,15.9,"Tract 111","003","Albemarle",2,"No Broadband"
"153","51003011100","nofood","rank",7.1,99.6233910769534,"Tract 111","003","Albemarle",2,"Low Food Access"
"154","51003011100","index","rank",4.86,NA,"Tract 111","003","Albemarle",2,"Composite Score"
"155","51003011000","density","norm",0.01,219.852703350529,"Tract 110","003","Albemarle",2,"Population Density"
"156","51003011000","room15","norm",0,0,"Tract 110","003","Albemarle",2,">1.5 Ppl/Room"
"157","51003011000","nocar","norm",0.05,1.3,"Tract 110","003","Albemarle",2,"No Car Access"
"158","51003011000","und6","norm",0.24,14,"Tract 110","003","Albemarle",2,"Children Aged <6"
"159","51003011000","nobb","norm",0.11,7.09999999999999,"Tract 110","003","Albemarle",2,"No Broadband"
"160","51003011000","nofood","norm",0.04,99.0424646128878,"Tract 110","003","Albemarle",2,"Low Food Access"
"161","51003011000","index","norm",0.45,NA,"Tract 110","003","Albemarle",2,"Composite Score"
"162","51003011000","density","rank",6.03,219.852703350529,"Tract 110","003","Albemarle",2,"Population Density"
"163","51003011000","room15","rank",1,0,"Tract 110","003","Albemarle",2,">1.5 Ppl/Room"
"164","51003011000","nocar","rank",2.71,1.3,"Tract 110","003","Albemarle",2,"No Car Access"
"165","51003011000","und6","rank",3.75,14,"Tract 110","003","Albemarle",2,"Children Aged <6"
"166","51003011000","nobb","rank",1.15,7.09999999999999,"Tract 110","003","Albemarle",2,"No Broadband"
"167","51003011000","nofood","rank",3.44,99.0424646128878,"Tract 110","003","Albemarle",2,"Low Food Access"
"168","51003011000","index","rank",1.89,NA,"Tract 110","003","Albemarle",2,"Composite Score"
"169","51003010902","density","norm",0.29,4295.60952504684,"Tract 109.02","003","Albemarle",2,"Population Density"
"170","51003010902","room15","norm",0.59,1.3,"Tract 109.02","003","Albemarle",2,">1.5 Ppl/Room"
"171","51003010902","nocar","norm",0.78,21.7,"Tract 109.02","003","Albemarle",2,"No Car Access"
"172","51003010902","und6","norm",0.62,29.3,"Tract 109.02","003","Albemarle",2,"Children Aged <6"
"173","51003010902","nobb","norm",0.26,14,"Tract 109.02","003","Albemarle",2,"No Broadband"
"174","51003010902","nofood","norm",0.88,99.875893710937,"Tract 109.02","003","Albemarle",2,"Low Food Access"
"175","51003010902","index","norm",3.41,NA,"Tract 109.02","003","Albemarle",2,"Composite Score"
"176","51003010902","density","rank",8.78,4295.60952504684,"Tract 109.02","003","Albemarle",2,"Population Density"
"177","51003010902","room15","rank",8.12,1.3,"Tract 109.02","003","Albemarle",2,">1.5 Ppl/Room"
"178","51003010902","nocar","rank",9.69,21.7,"Tract 109.02","003","Albemarle",2,"No Car Access"
"179","51003010902","und6","rank",9.39,29.3,"Tract 109.02","003","Albemarle",2,"Children Aged <6"
"180","51003010902","nobb","rank",3.14,14,"Tract 109.02","003","Albemarle",2,"No Broadband"
"181","51003010902","nofood","rank",7.86,99.875893710937,"Tract 109.02","003","Albemarle",2,"Low Food Access"
"182","51003010902","index","rank",7.64,NA,"Tract 109.02","003","Albemarle",2,"Composite Score"
"183","51003010901","density","norm",0.21,3092.04473431214,"Tract 109.01","003","Albemarle",2,"Population Density"
"184","51003010901","room15","norm",0,0,"Tract 109.01","003","Albemarle",2,">1.5 Ppl/Room"
"185","51003010901","nocar","norm",0.49,13.8,"Tract 109.01","003","Albemarle",2,"No Car Access"
"186","51003010901","und6","norm",0.65,30.4,"Tract 109.01","003","Albemarle",2,"Children Aged <6"
"187","51003010901","nobb","norm",0.29,15.5,"Tract 109.01","003","Albemarle",2,"No Broadband"
"188","51003010901","nofood","norm",1,100,"Tract 109.01","003","Albemarle",2,"Low Food Access"
"189","51003010901","index","norm",2.64,NA,"Tract 109.01","003","Albemarle",2,"Composite Score"
"190","51003010901","density","rank",8.17,3092.04473431214,"Tract 109.01","003","Albemarle",2,"Population Density"
"191","51003010901","room15","rank",1,0,"Tract 109.01","003","Albemarle",2,">1.5 Ppl/Room"
